unidade_origem,unidade_responsavel,dia_semana,mes_fato,ano_fato,data_fato,consolidado,especificacao_crime,causa_presumivel,meio_empregado_sisp,bairros,local_ocorrencia,vit_fx_etaria,vit_sexo,vit_cor_pele,vit_grau_inst,grau_de_relacionamento,relato,aut_sexo,turno,periodo,consolidado_stratified
CABANAGEM - DELEGACIA DE POLICIA - 1ª RISP - 10ª AISP,CABANAGEM - DELEGACIA DE POLICIA - 1ª RISP - 10ª AISP,SAB,JUNHO,2020,2020-06-27,AMEACA,Nao informado,OUTRAS,SEM INSTRUMENTO,CABANAGEM,VIA PUBLICA,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO MEDIO INCOMPLETO,NAO INFORMADO,"<p>A cidadã acima identificada comunica nesta Unidade Policial que foi vítima de AMEAÇA DE MORTE praticados pelo individuo BADALU e pela mulher LÉA mulher de BADALU moradores ao lado de sua casa na Passagem Girassol,Quadra não sabido,nº. 30 no bairro da Cabanagem entre a Av. Damasco e a Av. Independência(&nbsp;Casa de Vendas de Açai)&nbsp;com SEIS BANDIDOS e ainda foi ofendida&nbsp;moralmente com as palavras, ""...CACHORRA..."", ""...GALINHA..."" e a ameaça ""...VOU TE PEGAR...SUA CACHORRA escutou na ocasião que estavam ao lado de sua casa&nbsp;dito pels&nbsp;seis individuos moradores em local não sabido que estavam em companhia e BADALU e a LÉA por motivos que trabalha e teêm inveja. Comunica que próximo da entrada de sua casa estavam dois carros um&nbsp;carro de COR PRETO e um&nbsp;carro de COR PRATA.&nbsp;Registra-se para fins de direito.</p>",Nao informado,TARDE,1 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,SAB,NOVEMBRO,2023,2023-11-18,AMEACA,Nao informado,ENTORPECENTES,SEM INSTRUMENTO,PARQUE VERDE,VIA PUBLICA,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL COMPLETO,NAO INFORMADO,"<P>A RELATORA ACIMA COMPARECEU NESTA DELEGACIA PARA REGISTRAR QUE NO DIA 18/11/2023 POR VOLTA DAS 14:15 HORAS FOI AMEACADA POR SEU VIZINHO DE NOME FELIPE DA SILVA FERREIRA. 23 ANOS, VENDEDOR, SOLTEIRO, PARAENSE, IDENTIDADE Nº 7813997 PC/PA, CPF Nº 039.517.762-69, FILHO DE MARIA DAS DORES GOMES DA SILVA E RONI CARLOS DA COSTA, RESIDENTE: SANTA RITA, N. 25, QUADRA 104, CABANAGEM, BELEM, PA – 66625090, TELEFONE: 91 98218-2777, QUE, ESSA SITUACAO OCORREU, DEVIDO FELIPE SER USUARIO DE DROGAS E QUANDO EFEITO DAS MESMAS FICA EXTREMAMENTE AGRESSIVO, SENDO ELE FALOU AS TEXTUAIS: “EU VOU MATAR TODO MUNDO DESTA CASA AI” E LOGO EM SEGUIDA DANIFICOU O CARRO DA RELATORA COM UM SOCO QUE ELE DEU NA LATARIA. QUE, NAO E A PRIMEIRA VEZ QUE OCORRE ESSE TIPO DE SITUACAO COM&NBSP; FELIPE E HOJE FOI PORQUE A RELATORA ESTAVA OUVINDO UM RADIO E FELIPE NAO GOSTOU. REGISTRA-SE PARA AS DEVIDAS PROVIDENCIAS.</P>",Nao informado,TARDE,2 SEMESTRE DE 2023,AMEACA
Nao informado,Nao informado,QUI,OUTUBRO,2022,2022-10-20,AMEACA,Nao informado,ÓDIO OU VINGANÇA,OUTROS MEIOS,UMARIZAL,OUTROS LOCAIS,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,NAO INFORMADO,"<P>A SRA. SUSAN ARAUJO FERREIRA PESSOA, COMUNICA NESTA SECCIONAL URBANA DA PEDREIRA; QUE: NA QUALIDADE TECNICA DE ENFERMAGEM, TRABALHANDO PARA A EMPRESA DENOMINADA “ CUIDARE “ : ENDERECO COMERCIAL CENTRO EMPRESARIAL BOLONHA - AV. GOV. JOSE MALCHER, N 168 - SALA 110 - NAZARE, BELEM - PA, 66033-770, A DEPOENTE AFIRMA QUE NO DIA 20/10/2022, POR VOLTA DAS 07:00HS, DA MANHA. FOI INFORMADA PELA DIRECAO DA EMPRESA ACIMA, QUE A MESMA DEVERIA SE DESLOCAR PARA A RESIDENCIA DE UMA CLIENTE IDENTIFICADA POR SRA. ROSANA CARVALHO, RESIDENTE RUA BERNAL DO COUTO, EDIFICIO SAO GEORGES 195, AP. 102- BAIRRO DO UMARIZAL, BELEM - PA-66055-080. 10, PARA TRABALHAR COMO CUIDADORA DA NACIONAL ACIMA, NOS DIAS 20, 22, E 24 DE OUTUBRO DE 2022. OCORRE QUE NO DIA 26/10/2022, POR VOLTA DAS 11:49, MANHA, A DEPOENTE RECEBEU UMA MENSAGEM DE TEXTO VIA WHASTAPP, COM OS SEGUINTES TEXTUAIS “ E SO PRA TE DIZER QUE VOCE NUNCA MAIS, PASSE NOVAMENTE NA MINHA FRENTE, SOU CAPAZ DE TE ENCHER DE PORRADA, NUNCA VI UMA PESSOA TAO FALSA, E CRIADORA DE PROBLEMA COM VOCE ETC… “. QUE: A DEPOENTE AFIRMA QUE A MOTIVACAO QUE LEVOU A NACIONAL ACIMA, ENVIAR A MENSAGEM DE TEXTO COM TONS DE AMEACAS CONTRA A SUA PESSOA, FOI DEVIDO A DEPOENTE SABER POR INTERMEDIO DA NACIONAL SR. ROSANA CARVALHO, QUE A MESMA EMPRESTAVA O CARTAO DE CREDITO PARA UMA CUIDADORA QUE TRABALHA NA EMPRESA ACIMA, POREM AO RELATAR O FATO A PROPRIETARIA DA EMPRESA ENFERMEIRA A NACIONAL SRA. ALNILAN, A MESMA AFIRMOU PARA A DEPOENTE QUE A MESMA ESTAVA LIVRE PRA FAZER O QUE ACHAVA O QUE ERA MELHOR. REGISTRA PARA FINS DE DIREITO.///////////</P>",Nao informado,MANHA,2 SEMESTRE DE 2022,AMEACA
Nao informado,Nao informado,SEG,JULHO,2022,2022-07-25,LESAO CORPORAL,VIOLENCIA DOMESTICA,ALCOOLISMO / EMBRIAGUEZ,SEM INSTRUMENTO,CONDOR,"CAFE, BAR, RESTAURANTE, ETC",ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,COMPANHEIRO(A),"<P>AOS 25 (VINTE E CINCO) DIAS DO MES DE JULHO DE 2022, POR VOLTA DAS 01:56 HORAS, O POLICIAL MILITAR HELENILTON MENDES CORREA APRESENTOU NESTA ESPECIALIZADA O NACIONAL TIAGO DE AMORIM LEITE, BRASILEIRO, NATURAL DE BELEM/PA, NASCIDO AOS 13/11/1981, PORTADOR RG N.º 4303758 PC/PA, INSCRITO NO CPF SOB O N.º 730.755.232-91, FILHO DE VALTER ANTONIO LEITE E CARMEN ANDREA DE AMORIM LEITE, RESIDENTE E DOMICILIADO NA AVENIDA MAGALHAES BARATA, ED. SOCILAR, APTO 1103, BAIRRO SAO BRAS, BELEM/PA, (91) 98113-1463, AUTUADO EM FLAGRANTE DELITO PELO DESCUMPRIMENTO DE MEDIDAS PROTETIVAS DEFERIDAS NOS AUTOS DO PROCESSO N.º 0813038-74.2022.8.14.0401, EM FAVOR DA COMPANHEIRA LETICIA BRENDA DE OLIVEIRA PEREIRA. QUE, ESTAVA EM RONDA NA VTR-2012, QUANDO ACIONADO A COMPARECER NA RUA 03 DE MAIO, ENTRE CONSELHEIRO E MUNDURUCUS, PORQUE O NACIONAL AQUI APRESENTADO ESTARIA AGREDINDO FISICAMENTE POPULARES NO LOCAL. QUE, CHEGANDO AO LOCAL, DEPARARAM COM O AUTUADO CONTIDO POR POPULARES E SUA COMPANHEIRA CONTOU A GUARNICAO QUE HAVIA CONTRA ELE REQUERIDO MEDIDAS PROTETIVAS HA DOIS DIAS. QUE, A VITIMA ESTAVA NA COMPANHIA DE ALGUNS AMIGOS, SENDO QUE O AUTUADO CHEGOU A AGREDIR UMA DAS AMIGAS DELA. QUE, SEGUNDO FOI RELATADO PELA VITIMA E QUE O AUTUADO CHEGOU AO LOCAL MUITO ALTERADO, POIS FAZ USO DE DROGAS (COCAINA), E FOI ATRAS DA COMPANHEIRA. QUE, DIANTE DA SITUACAO, AUTUARAM-NO EM FLAGRANTE DELITO E OS CONDUZIRAM A ESTA ESPECIALIZADA. REGISTRE-SE PARA OS DEVIDOS FINS.&NBSP;&NBSP;</P>",M,MADRUGADA,2 SEMESTRE DE 2022,LESAO CORPORAL
Nao informado,Nao informado,DOM,MAIO,2023,2023-05-07,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,TELEGRAFO,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>A NACIONAL DEVIDAMENTE QUALIFICADA COMAPRECEU A ESTA 1ª SECCIONAL URBANA DA SACRAMENTA PARA REGISTRAR QUE NA DATA E HORA CITADOS FOI VITIMA DO CRIME DE AMECA, POR PARTE DA NACIONAL BENEDITA DA COSTA PANTOJA, RESIDENTE PASSAGEM SANTA TEREZINHA Nº07A, ENTRE TRAVESSA BARAO DO TRIUNFO E TRAVESSA ANGUSTURA, BAIRRO BARREIRO, QUE SEGUNDO A RELATORA TUDO COMECOU PORQUE TEM UMA RELACAO AMOROSA, COM O EX-MARIDO DA DENUNCIADA, A QUAL NAO ACEITA O RELACIONAMENTO DOS DOIS, QUE; A MANDA MENSAGEM ATRAVES DE APLICATIVO COM OS SEGUINTES TEXTUAIS: EU VOU TE PEGAR NA FRENTE DA TUA CASA PARA TODO MUNDO VER A PUTA QUE TU ES, VOU CORTA A TUA CARA, QUE, SEGUNDO A RELATORA POSSUI FOTOS INTIMAS NO CELULAR DE SEU COMPANHEIRO, AS QUAIS A DENUNCIADO FICA FALANDO QUE VAI DIVULGAR, QUE, ESTAR COM MEDO E TERME POR SUA INTEGRIDADE FISICA. REGISTRA-SE PARA FINS DE DIREITO.//////</P>",Nao informado,NOITE,1 SEMESTRE DE 2023,AMEACA
Nao informado,Nao informado,QUA,JUNHO,2022,2022-06-29,LESAO CORPORAL,VIOLENCIA DOMESTICA,OUTRAS,OUTROS MEIOS,BATISTA CAMPOS,VIA PUBLICA,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO SUPERIOR INCOMPLETO,EX-COMPANHEIRO(A),"<P>A RELATORA ACIMA QUALIFICADA COMPARECEU NESTA DIVISAO ESPECIALIZADA NO ATENDIMENTO A MULHER PARA DECLARAR QUE NO DIA, HORA E LOCAL SUPRACITADOS, SEU EX-COMPANHEIRO JOSE OTAVIO SOEIRO JUNIOR, RG&NBSP;5185385 SSP/PA, CPF NAO INFORMADO, FILHO DE ROCILDA DE ARAUJO CARDOSO, ENDERECO RUA DOS PARIQUIS, VILA STA LUZIA I, CASA 05, ENTRE BREVES E ESTRADA NOVA, JURUNAS, CONTATO 91 98016-4670, COM O QUAL POSSUI UMA FILHA MENOR DE IDADE COM 4 ANOS, PEGOU A FILHA DO CASAL NA ESCOLA E SE DIRIGIU PARA A CASA DA DECLARANTE E FICOU NA PORTA; QUE A DECLARANTE FOI NA LOTERICA E RETORNOU, POREM QUANDO RETORNOU, JOSE TINHA SAIDO COM A CRIANCA E A DECLARANTE PASSOU A FALAR COM JOSE SOBRE A CRIANCA O QUAL INFORMOU QUE A CRIANCA DORMIRIA COM ELE; QUE, APOS A MAE DA DECLARANTE IR ATE A CASA DE JOSE, ESTE RETORNOU POR VOLTA DAS 20H NA CASA DA DECLARANTE COM A FILHA DO CASAL, OCASIAO EM QUE PASSARAM A DISCUTIR E, QUANDO A DECLARANTE FOI PEGAR A FILHA DO BRACO DELE, ESTE CORREU, MOMENTO EM QUE A DECLARANTE PEGOU UMA PEDRA DO CHAO E JOGOU EM JOSE, O ATINGIDO, MOMENTO EM QUE JOSE REVIDOU E DEU UM CHUTE NA COSTA DA DECLARANTE, QUANDO ESTA CAIU E MACHUCOU SEU COTOVELO E JOELHOS, MOMENTO EM QUE O IRMAO DA DECLARANTE PEGOU A CRIANCA E DISSE PARA QUE JOSE FOSSE EMBORA DALI, E ELE FOI EMBORA; QUE, OFERECIDO ABRIGAMENTO TEMPORARIO PARA A DECLARANTE, ESTA RECUSOU E DISSE NAO SER NECESSARIO; QUE, DENTRE AS MEDIDAS PROTETIVAS EM CARATER DE URGENCIA, A DECLARANTE DESEJA PLEITEAR AS SEGUINTES: PROIBICAO DE APROXIMACAO DA OFENDIDA, DE SEUS FAMILIARES E DAS TESTEMUNHAS, FIXANDO O LIMITE MINIMO DE DISTANCIA ENTRE ESTES E O AGRESSOR; PROIBICAO DE CONTATO COM A OFENDIDA, SEUS FAMILIARES E TESTEMUNHAS, POR QUALQUER MEIO DE COMUNICACAO; PROIBICAO DE FREQUENTAR LOCAIS DETERMINADOS, SENDO A RESIDENCIA DA OFENDIDA, FIM DE PRESERVAR A INTEGRIDADE FISICA E PSICOLOGICA DA OFENDIDA; REGISTRA-SE.</P>",M,NOITE,1 SEMESTRE DE 2022,LESAO CORPORAL
DEL.VIRTUAL - 277,SAO BRAS - PESSOA 227 - 1º RISP- 2ª AISP,DOM,JULHO,2020,2020-07-26,AMEACA,Nao informado,IMPERICIA / IMPRUDENCIA / NEGLIGENCIA,SEM INSTRUMENTO,CANUDOS,OUTROS LOCAIS,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,NAO INFORMADO,NAO INFORMADO,"O RELATOR ACIMA QUALIFICADO COMUNICA, ATRAVÉS DA DELEGACIA VIRTUAL, QUE NO DIA E HORA ACIMA MENCIONADOS FOI VÍTIMA DE AMEAÇA, CONFORME O SEGUINTE RELATO: MEU EX MARIDO HELDER CABRAL DO SACRAMENTO SILVA, RESIDENTE NO BAIRRO DA PEDREIRA,  MARQUES DE HERVAL 1505ENTRE BARÃO E ANGUSTURA, ESTÁ AMEAÇANDO A MIM,  A MEU FILHO E MINHA MÃE .",Nao informado,TARDE,2 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,SEX,ABRIL,2023,2023-04-14,LESAO CORPORAL,VIOLENCIA DOMESTICA,OUTRAS,OUTROS MEIOS,MARCO,"CAFE, BAR, RESTAURANTE, ETC",ADULTO II (25 A 29 ANOS),F,PREJUDICADO,ENSINO SUPERIOR INCOMPLETO,NAMORADO(A),"<P>O RELATOR ACIMA QUALIFICADO COMUNICA, ATRAVES DA DELEGACIA VIRTUAL, QUE NO DIA E HORA ACIMA MENCIONADOS, OCORREU O CRIME DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER, CRIANCAS, ADOLESCENTES OU IDOSOS, CONFORME O SEGUINTE RELATO:<BR><BR>FUI AGREDIDA COM UM SOCO NO ROSTO APOS EU TENTAR SEGURA-LO NA MOCHILA, PARA CONVERSARMOS E EM SEGUIDA EMPURRADA PELO MESMO, CAIR NO CHAO, RALEI MEU BRACO E MACHUQUEI MEU QUADRIL, TENTEI ARGUMENTAR O MOTIVO PELO QUAL ELE FEZ ISSO E SEGUIU NO UBER MOTO..<BR><BR> QUAL FOI O TIPO DE VIOLENCIA CONTRA A CRIANCA, ADOLESCENTE, MULHER OU IDOSO?<BR> RESPOSTA: <STRONG>LESAO CORPORAL</STRONG><BR><BR> HOUVE USO DE VIOLENCIA OU GRAVE AMEACA?<BR> RESPOSTA: <STRONG>VIOLENCIA</STRONG><BR><BR> <B> <BR>O(A) COMUNICANTE DEVE DIRIGIR-SE IMEDIATAMENTE A DIVISAO ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM PARA SER EXPEDIDA A REQUISICAO DE PERICIA PERTINENTE AO FATO RELATADO, CONFORME O ENDERECO PRESENTE NO RODAPE DESTE DOCUMENTO (OBSERVACOES - ITEM 1). </B> <BR><BR>SEGUE ABAIXO AS INFORMACOES DO(S) ENVOLVIDO(S) NO FATO:<BR><BR><B>COMUNICANTE / VITIMA 1</B><BR>NOME: MARA LUCIA CORREA TEIXEIRA<BR>SEXO: F<BR>DATA DE NASCIMENTO: 12/06/1997<BR>MAE: MARLUCY DE NAZARE BORGES CORREA<BR>ENDERECO: AVENIDA CIPRIANO SANTOS, 324 - SAO BRAS - BELEM/PA - 66090340<BR>CONTATOS: 91 98378-6640 - MARALUCIATEIXEIRA3@GMAIL.COM<BR><BR><B>SUSPEITO 1</B><BR>NOME: RICARD CLAPERA DURAN<BR>SEXO: M<BR>ENDERECO: TRAVESSA PADRE EUTIQUIO, 2596 - BATISTA CAMPOS - BELEM/PA - 66025970<BR>CONTATOS: 91 98522-6017 - RICARDCLAPERADURAN@GMAIL.COM<BR>CUTIS: BRANCA<BR>TIPO DE PESCOCO: GROSSO NORMAL<BR>PESO: 91 KG OU MAIS<BR>TIPO DE LABIOS: FINOS NORMAL<BR>BIGODE: GROSSO<BR>TIPO DA ORELHA: NORMAIS NORMAL<BR>BARBA: CHEIA<BR>COR DOS OLHOS: VERDES<BR>TIPO DOS OLHOS: REDONDOS<BR>BOCA: NORMAL<BR>SOBRANCELHA: SEPARADAS GROSSAS<BR>NARIZ: AFILADO<BR>TIPO DA TESTA: ALTA COM ENTRADAS<BR>ROSTO: COMPRIDO<BR>COR DO CABELO: LOUROS<BR>TIPO DO CABELO: ENCARACOLADOS<BR>COMPLEICAO: TRONCUDO<BR>ALTURA: 1,81 A 1,90<BR>IDADE APARENTE: 37<BR>DESCRICAO DA VESTIMENTA: ELE E CARECA.ESTAVA VESTIDO COM CAMISA PRETA, BERMUDA JEANS, TENIS E MOCHILA CINZA NA COSTA..<BR><BR></P>",M,MADRUGADA,1 SEMESTRE DE 2023,LESAO CORPORAL
Nao informado,Nao informado,TER,DEZEMBRO,2021,2021-12-21,LESAO CORPORAL,VIOLENCIA DOMESTICA,ÓDIO OU VINGANÇA,SEM INSTRUMENTO,MARAMBAIA,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,FILHO(A),"<P>QUE E MAE DO SENHOR MCILLGNER MURILO BORGES DE AVELAR, RG.5932375, CPF.15336012-75, NASCIDA 22/07/94, FILHO DE MARIA LEONETE FERREIRA DA SILVA BORGES E JOSE MARIA DE AVELAR, RESIDENTE NA RUA SANTOS DUMONT Nº13, CASA A , QD E, BAIRRO DO QUARENTA HORAS COQUEIRO/ANANINDEUA, SEM CONTATO TELEFONICO E QUE O NACIONAL TEM PROVOCADO DESAVENCAS POR CAUSA DOS BENS QUE O PAI DO MESMO DEIXOU. O EX-MARIDO JOSE MARIA DE AVELAR DA DECLARANTE FALECEU EM MAIO DE 2020 E DEIXOU UM SEGURO EM NOME DO FILHO MCILLGNER. QUE SEU FILHO COMPROU UM IMOVEL PARA A DECLARANTE NO BAIRRO DA MARAMBAIA E POSTERIORMENTE A RETIROU DO REFERIDO IMOVEL. QUE, A DECLARANTE FEZ UMA OCORRENCIA NO DIA 06/05/21, PELO FATO DE SEU FILHO TE-LA RETIRADO DA CASA QUE ELE JA HAVIA LHE DADO. A DECLARANTE PEDIU MEDIDAS PROTETIVAS CONTRA O FILHO, AS QUAIS FORAM DEFERIDAS PELO JUIZO E NO DIA DE 07/12/21, A DECLARANTE FOI CITADA E INFORMADA QUE A MEDIDA PROTETIVA HAVIA SIDO REVOGADA. NO DIA 21 DE DEZEMBRO DE 2021, SEU FILHO MCILLGNER FOI ATE A CASA EM QUESTAO E TENTANDO ENTRAR NA CASA, FORCOU O PORTAO E ARRANCOU-O. DURANTE A CONFUSAO A DECLARANTE SEGURANDO O PORTAO, FAZENDO FORCA TEVE SEU DEDO MEDIO LESIONADO (INCHADO). FOI UMA CONFUSAO, POR ISSO VEIO ATE A ESTA UNIDADE POLICIAL PARA SOLICITAR OUTRA MEDIDA PROTETIVA NO SENTIDO DE QUE ELE SEJA PROIBIDO EM SE APROXIMAR DELA E DE FREQUENTAR O ENDERECO DA OFENDIDA. DESEJA QUE O O FILHO SEJA PROCESSADO POR LESAO CORPORAL. QUE SEU FILHO AO VER QUE A DECLARANTE ESTAVA CHAMANDO A POLICIA EVADIU-SE DO LOCAL. O PROBLEMA E QUE O MESMO QUER FICAR COM A CASA, ASSIM COMO A DECLARANTE TAMBEM QUER QUE SEJA PACIFICADA SUA POSSE DO REFERIDO IMOVEL. A DECLARANTE REPRESENTA CRIMINALMENTE CONTRA SEU FILHO MCILLGNER MURILO BORGES DE AVELAR, NAO ACEITA ABRIGO PUBLICO E NAO APRESENTOU TESTEMUNHAS DOS FATOS. QUANTO AS MEDIDAS PROTETIVAS SOLICITA: A PROIBICAO DE O AGRESSOR EM SE APROXIMAR DA OFENDIDA; A PROIBICAO DE O AGRESSOR FREQUENTAR O ENDERECO DA OFENDIDA; A PROIBICAO DE O AGRESSOR EM ENTRAR EM CONTATO COM A OFENDIDA POR QUALQUER MEIO DE COMUNICACAO. SERA SOLICITADO EXAME DE CORPO DE DELITO</P>",M,MANHA,2 SEMESTRE DE 2021,LESAO CORPORAL
Nao informado,Nao informado,SEG,SETEMBRO,2022,2022-09-05,LESAO CORPORAL,Nao informado,OUTRAS,OUTROS MEIOS,BENGUI,ESTABELECIMENTO DE DIVERSAO COLETIVA,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>A CIDADA ACIMA QUALIFICADA COMPARECE NESTA DELEGACIA DE POLICIA COM O PROPOSITO DE COMUNICAR A DIFAMACAO,AMEACA E AGRESSAO FISICA OCORRIDA NO DIA 05/09/2022 AS 3:00 HORAS, NO ENDERECO AJAX DE OLIVEIRA N°1250 (CONVENIENCIA ALTAS HORAS), MOMENTO EM QUE A SRA. GLEICIANE, OFENDEU A HONRA E DIGNIDADE DA RELATORA CHAMANDO-A DE: “PUTA,VAGABUNDA,ESCROTA”, TEXTUAIS ESTAS QUE OFENDEM A HONRA E DIGNIDADE DA RELATORA, ALEM DE AMEACAR A RELATORA DE CORTA-LA E TAMBEM DE AGREDI-LA FISICAMENTE NA DATA E HORARIO ACIMA. QUE A SRA GLEICIANE, INDO ATE O TRABALHO DA RELATORA LHE AGREDIU FISICAMENTE COM UM SOCO NO ROSTO. A RELATORA ANA PAULA MADEIRA DOS SANTOS,VEM REGISTRAR O OCORRIDO E TOMAR AS MEDIDAS CABIVEIS PERANTE OS ORGAOS COMPETENTES EM MOMENTO OPORTUNO. REGISTRA-SE, PARA OS DEVIDOS FINS.</P>",F,MADRUGADA,2 SEMESTRE DE 2022,LESAO CORPORAL
DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,TER,MAIO,2020,2020-05-05,AMEACA,VIOLENCIA DOMESTICA,ENTORPECENTES,ARMA CORTANTE OU PERFURANTE,BARREIRO,RESIDENCIA PARTICULAR,ADULTO II (25 A 29 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL COMPLETO,NAO INFORMADO,"<p>O condutor&nbsp; Emmanuel Maciel de Abreu, AL OF PM , lotado no 1º BPM, VTR 0116, juntamente com sua equipe&nbsp; 3º SGT Pm Cristiano Oliveira Ribeiro e 3º SGT PM Marques Queiroz os Santos foram acionados via CIOP para atender uma sitiuação de violência Doméstica ocorenmdo na pasa Santos Dumont , 52, vila de kit Nets, entre as Ruias Angustura e Mirandinha, Bareiro, que ao chegarem na residência da vitima&nbsp; <b>EMANUELLE CUNHA DOS SANTOS, </b>Nascida em 12/11/1993 a qual havia acionado a \PM devido estar sendo ameaçada com uma faca pelo companheiro&nbsp;&nbsp;<b><u>MARCELO LOBATO MARTINS,&nbsp;</u></b><u></u>o qual morava com a vitima ha cinco meses&nbsp; , o qual é usuario de drogas e estava visivelmente sob efeito de drogas, que o mesmo portava uma faca e estava exigindo uma valor em dinheiro, que segundo a vítima era o dinheiro que a mesma havia recebido do Auxilio emergencial pela pandemia, que Marcelo queria o dinheiro para usar drogas , e que por isso ameaçava a relatora , que o casal não posuem filhos em comum, que o condutor conduziu&nbsp; vítima e acusado para estea delegacia especializada para os procedmentos flagranciais.A vítima demonstra desejo de solicitar MEDIDAS PROTETIVAS DE AFASTAMENTO E PRIBIÇÃO DE CONTATO&nbsp; COM A MESMA.</p>",M,MANHA,1 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,DOM,JULHO,2022,2022-07-10,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,CRUZEIRO,OUTROS LOCAIS,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO SUPERIOR INCOMPLETO,NAO INFORMADO,"<P>A COMUNICANTE ACIMA QUALIFICADA COMPARACEU A ESTA SECCIONAL PARA INFORMAR QUE FOI VITIMA DE AMEACA POR PARTE DO TIO DO SEU ESPOSO O NACIONAL FRANCISCO EDSON PAULA RIBEIRO QUE RESIDE RUA DOIS DE DEZEMBRO N°675 BAIRRO DO CRUZEIRO, OCORRE QUE O NACIONAL AMEACOU A REALATORA QUE ´´ A RELATORA IRIA VER SO OQUE IRIA ACONTECER COM ELA E QUE A SUA CASA VAI CAIR E CHAMOU A CHAMOU DE MULHERZINHA´´ ( TEXTUAIS), A RELATORA SALIENTA QUE A DISCUSSAO FOI EM RAZAO DE A RELATORA NAO CONSEGUIR PASSAR COM A SUA MOTO EM RAZAO DA PASSAGEM ESTA BLOQUEADA COM O CARRO DO FILHO DO MESMO E A RELATORA TEMENTE POR SUA VIDA VEIO A COMUNICAR O FATO.REGISTRA-SE PARA FINS DE COMUNICACAO E PROVIDENCIAS.////////<BR></P>",Nao informado,MADRUGADA,2 SEMESTRE DE 2022,AMEACA
